epoch,train_loss,val_loss,psnr,ssim,lr
1,40.29268922424316,9.332333599448203,26.704467412557143,0.7088589220413601,0.0001
2,38.107090354919436,9.17116741347313,26.851216468859455,0.7144409280873494,0.0001
3,37.45328366851807,9.103761219501495,26.902140792753006,0.7165699344131533,0.0001
4,37.29866967010498,9.074744554758071,26.92304272475857,0.71652109127411,0.0001
5,36.91575087738037,9.013941766381263,26.965807064030578,0.7166384929942684,0.0001
6,36.8916739654541,9.004346007108689,26.97719466585592,0.7183439800519664,0.0001
7,37.04647180175781,8.96965421307087,27.00702755961051,0.7197171371075399,0.0001
8,36.586206336975096,8.957627586364746,27.01395472294506,0.7206639592763271,0.0001
9,36.50127159881592,8.94059096479416,27.03437872786854,0.7208713625445535,0.0001
10,37.24351170349121,8.915932503938675,27.052241368284413,0.7211748966689726,0.0001
11,36.38274306488037,8.901502815008163,27.071276219320623,0.7231588986498818,0.0001
12,37.37388779449463,8.888044773936272,27.088056949129072,0.7242748430527705,0.0001
13,36.49167081451416,8.880370988368988,27.090157460062766,0.7236849933123659,0.0001
14,36.369589935302734,8.858424104452133,27.106987481923944,0.7235426674516598,0.0001
15,36.13119310760498,8.832593474626542,27.13268662068572,0.7234705695736813,0.0001
16,36.1874552230835,8.823273070216178,27.13961258517902,0.725153890735102,0.0001
17,35.886659561157224,8.816157971739768,27.147812666203045,0.7230606681372919,0.0001
18,35.84483086395264,8.806585906028747,27.156351584875985,0.72495884836722,0.0001
19,36.12420344543457,8.821213089227676,27.144935534744835,0.7253172858685756,0.0001
20,36.063090576171874,8.792863892316818,27.16673103882381,0.7254602455849817,0.0001
21,36.31765089416504,8.795229030013084,27.166974777872984,0.7262052067775836,0.0001
22,36.09608376312256,8.783719259738922,27.175648370731388,0.7248326420826903,0.0001
23,36.28275022125244,8.78653938639164,27.1767283295877,0.7238587267675748,0.0001
