epoch,train_loss,val_loss,psnr,ssim,lr
1,34.30108586883545,8.012627022504807,27.99088115940994,0.7789059307152454,0.0001
2,31.886658729553222,7.78218072783947,28.28271060617934,0.7876950285788066,0.0001
3,31.569782806396486,7.6785060927867885,28.398552114546014,0.7905084414661241,0.0001
4,31.5905352935791,7.628315317034722,28.457404180857885,0.7922883942263478,0.0001
5,30.900408756256102,7.595296172976494,28.49902630817967,0.7939294718827472,0.0001
6,31.054318672180177,7.57803403365612,28.502305920895846,0.7929863328160998,0.0001
7,30.60973405456543,7.54437835264206,28.542050267808296,0.7950275251562491,0.0001
8,30.93398854827881,7.532237555980682,28.563422946875058,0.796378869042465,0.0001
9,29.80399864959717,7.517827585458756,28.567754075022275,0.7956023399396089,0.0001
10,30.601196849822998,7.485117425203323,28.609334785494678,0.7969881395973992,0.0001
11,29.87340470123291,7.471332533717155,28.62607858479962,0.7964188132839372,0.0001
12,30.114242721557616,7.469063968062401,28.622123048015098,0.796019775588143,0.0001
13,30.319318107604982,7.456013878464699,28.63054727858611,0.7967573838008642,0.0001
14,30.409544998168947,7.43885545694828,28.654148045767478,0.79696244322197,0.0001
15,29.935498580932617,7.42769545173645,28.67682023379196,0.7989882509309426,0.0001
16,30.050260097503664,7.416089537262916,28.6861234407182,0.800128182468416,0.0001
17,30.106931552886962,7.413116910576821,28.686909044287642,0.7978054030634262,0.0001
18,29.615167083740236,7.408311618804932,28.693489350033015,0.7995509618155661,0.0001
19,29.70452417755127,7.3788051035404205,28.727251544088382,0.7996008691754577,0.0001
20,30.023321563720703,7.378023224234581,28.730046169957596,0.7999665619296122,0.0001
21,30.00427085876465,7.370018145561218,28.73773061970565,0.7999156578805906,0.0001
22,29.75064116668701,7.372981505155563,28.73830906828006,0.8003292003003866,0.0001
23,29.61694648361206,7.361382652401924,28.742430127496515,0.7994594297465539,0.0001
24,30.181681079864504,7.3512489961385725,28.756098316241232,0.7989725084839212,0.0001
25,29.63373793029785,7.356495684146881,28.756989323928646,0.8007193370093925,0.0001
26,29.282045349121095,7.343603678941727,28.768643215321173,0.8010918601561774,0.0001
27,29.650605545043945,7.330606662392617,28.782303837242377,0.8002816542589225,0.0001
28,29.562888114929198,7.325542481184006,28.79010630265161,0.8018189867263382,0.0001
29,29.81702304840088,7.340428543329239,28.774023875582362,0.8016464514064685,0.0001
30,29.783657844543455,7.311638362050056,28.80536382466931,0.8007032388423458,0.0001
31,29.587774948120117,7.322935852169991,28.78778647142491,0.8016115150390319,0.0001
32,29.522332622528076,7.314788938522339,28.797678554556157,0.8009331762316511,0.0001
33,29.263698890686037,7.3001537435054775,28.816002614436147,0.8025604383229121,0.0001
34,29.428450965881346,7.3024278997182845,28.811830651108025,0.8020176953459907,0.0001
35,29.583094444274902,7.296626965641975,28.825671602254765,0.8020410148254475,0.0001
36,29.71864366912842,7.311599344968796,28.80179921785154,0.8029528743650686,0.0001
37,29.5605011177063,7.288750614881516,28.830328171429677,0.8041327943321075,0.0001
38,29.320372062683106,7.276551701784134,28.852251361653384,0.8022622673543793,0.0001
39,28.942719005584717,7.2686460204124455,28.854667161112555,0.8029493600520662,0.0001
40,29.42344800567627,7.272169742226601,28.84808312713105,0.8032591099697615,0.0001
41,28.97014911651611,7.277238673090935,28.836340754505688,0.802888714563751,0.0001
42,28.927743637084962,7.273712569475174,28.852656597868766,0.8029488919272828,0.0001
43,29.178494483947755,7.246258699059487,28.880037452424475,0.8039100786325225,0.0001
44,28.76608168029785,7.2617660921812055,28.861447704719268,0.8032549031764293,0.0001
45,29.293278705596922,7.242423340678215,28.88579315944596,0.8037673465048824,0.0001
46,29.624794006347656,7.246252969861031,28.886526644966544,0.8041228641663725,0.0001
47,29.536219886779786,7.25477116549015,28.863096322095423,0.8039590190189098,0.0001
48,29.37712911605835,7.234463639616966,28.890470189090987,0.8041775087735286,0.0001
49,29.696585189819334,7.227099666357041,28.904845895203135,0.804392070694918,0.0001
50,29.025709548950196,7.2464146046638485,28.87365382893488,0.8032013455636571,0.0001
51,29.250027542114257,7.218810454130173,28.912295384658428,0.8043613067974859,0.0001
52,28.742208839416502,7.224867639541626,28.89986013379664,0.8051377781404901,0.0001
53,28.70817700958252,7.2335261496305465,28.89139387638347,0.8045677878573291,0.0001
54,29.40393982696533,7.217305359721184,28.916315171220987,0.8041883595229719,0.0001
55,28.76091178894043,7.222522338628769,28.90778479281293,0.8035971222646513,0.0001
56,28.964568855285645,7.2096584402322765,28.91782178113149,0.8047434303122668,0.0001
57,28.92592625427246,7.213526498913765,28.916498395298884,0.8040369991389194,0.0001
58,29.19216142654419,7.2098724817037585,28.92285702595836,0.8046053613305468,0.0001
59,29.181656219482424,7.209211725234986,28.916924870943728,0.8044925124736351,0.0001
60,28.999993530273436,7.20348516356945,28.933017082675427,0.8048288414996044,0.0001
61,29.320444633483888,7.199460810780526,28.93563357273322,0.8055293928697654,0.0001
62,29.136731101989746,7.202172050356865,28.9295632446905,0.8042990294791026,0.0001
63,28.895642879486083,7.198308085918426,28.941630872189855,0.8047496845639789,0.0001
64,29.14769466781616,7.189264612555504,28.942201930340037,0.8061549204222179,0.0001
65,28.79363222503662,7.194339199662209,28.934893096781337,0.8049589757186123,0.0001
66,28.960315315246582,7.208700231194496,28.916386139863825,0.8064652460890515,0.0001
67,29.07851626586914,7.2019235483407975,28.92493825209803,0.804599710709552,0.0001
68,29.115586006164552,7.182738393187523,28.95588426383452,0.8058092460449654,0.0001
69,29.271600173950194,7.223876488089561,28.906938014130322,0.803299377617708,0.0001
70,29.028036918640137,7.2131611887216565,28.905298279250335,0.8050546441588244,0.0001
71,28.79371939086914,7.177984855175018,28.952575565568235,0.8064759331874787,0.0001
72,28.749987449645996,7.1697390831708905,28.969198458752665,0.8063034425655101,0.0001
73,28.712286003112794,7.182726367115975,28.947030826726664,0.8065571594207025,0.0001
74,29.022602180480956,7.166699631333351,28.978076702897205,0.8071809515547035,0.0001
75,28.931442626953125,7.180381921410561,28.970189788801036,0.8058491481603053,0.0001
76,28.989680053710938,7.173767602801323,28.9588145137513,0.8062896983861414,0.0001
77,28.81610996246338,7.173127786874771,28.964360722407037,0.8067583707807001,0.0001
78,29.11940258026123,7.163599753141403,28.97640840375118,0.8058025372721728,0.0001
79,28.77679870223999,7.175842048883438,28.948897060861537,0.8056744816193162,0.0001
80,28.79507150268555,7.160806527733802,28.975076368189455,0.8057435313164625,0.0001
81,28.52113751220703,7.17474579679966,28.963090943196587,0.8056300438453038,0.0001
82,28.985084037780762,7.149280676007271,28.993745857544898,0.8067278276008759,0.0001
83,28.753598167419433,7.164197390317917,28.979550788792288,0.8059494453864379,0.0001
84,29.049102325439453,7.1550057672262195,28.98658444276178,0.8074172321086432,0.0001
85,28.62051072692871,7.166801318883896,28.96286825301207,0.8076348004443645,0.0001
86,28.507129661560057,7.161267297267914,28.9790335630532,0.8062160494709812,0.0001
87,28.632212497711183,7.154653077960014,28.986931633659026,0.8057178639145031,0.0001
88,28.820236885070802,7.16431534910202,28.967345632360153,0.8078397988368814,0.0001
89,28.84336444091797,7.14245718216896,29.000888118340473,0.8074430298749398,0.0001
90,29.04668433380127,7.154879435420036,28.98332657733835,0.8070488359334338,0.0001
91,28.889423500061035,7.140493020534516,29.001822084728264,0.8076227753927074,0.0001
92,28.823928283691405,7.17824863576889,28.95246785222033,0.8066196565891794,0.0001
93,28.499443222045898,7.142728575587273,29.005548260474082,0.8071662993903581,0.0001
94,28.20562377166748,7.1383169195652005,29.01105030889509,0.8074224413225278,0.0001
95,28.598804328918458,7.14949401473999,28.992500110218092,0.8072539895157714,0.0001
96,28.481728240966795,7.133864533662796,29.00939472769938,0.8072222347186161,0.0001
97,28.82715814971924,7.150495332837105,28.982154351156936,0.807835331451162,0.0001
98,28.740310150146485,7.141705077409744,28.99745890638563,0.8074382377834387,0.0001
99,28.815104751586915,7.158893284082413,28.9758236834451,0.8078499576472875,0.0001
100,28.632272651672363,7.149313921689987,28.98824007109784,0.8083007157030421,0.0001
